File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
HECodemixedFemale444  25.99  43.25            0.63         0.78     0.70             0.31             0.28          0.85          0.43  0.28   0.31
HECodemixedFemale445   8.18   8.37            0.87         0.99     0.93             0.98             0.77          0.33          0.03  0.96   0.85
HECodemixedFemale446   6.72  10.91            0.88         0.93     0.90             0.82             0.72          0.40          0.19  0.62   0.68
HECodemixedFemale447  22.18  36.70            0.65         0.76     0.70             0.35             0.29          0.87          0.55  0.25   0.27
HECodemixedFemale448  20.07  38.34            0.69         0.85     0.76             0.37             0.32          0.79          0.30  0.28   0.36
HECodemixedFemale449  25.98  62.40            0.61         1.00     0.76             1.00             0.00          0.98          0.00  0.00   0.00
HECodemixedFemale450  36.73  50.45            0.61         0.66     0.64             0.25             0.21          0.88          0.68  0.26   0.25
HECodemixedFemale451  36.05  61.07            0.54         0.90     0.68             0.10             0.09          1.02          0.24  0.09   0.14
HECodemixedFemale452  21.52  28.41            0.68         0.85     0.76             0.59             0.43          0.82          0.31  0.48   0.48
HECodemixedFemale453  14.33  23.46            0.77         0.81     0.79             0.59             0.50          0.61          0.47  0.46   0.46
HECodemixedFemale454  19.28  24.96            0.73         0.84     0.78             0.68             0.52          0.68          0.37  0.62   0.55
HECodemixedFemale455  52.92  75.42            0.46         1.00     0.63             1.00             0.00          1.20          0.00  0.00   0.00
HECodemixedFemale456  48.26  68.16            0.54         0.72     0.62             0.25             0.05          1.00          0.63  0.17   0.17
HECodemixedFemale457  28.36  40.05            0.59         0.65     0.62             0.29             0.24          1.02          0.77  0.22   0.20
HECodemixedFemale458  26.86  54.93            0.61         0.92     0.73             0.13             0.11          0.96          0.18  0.09   0.17
HECodemixedFemale459  13.82  26.56            0.77         0.84     0.80             0.54             0.50          0.60          0.33  0.44   0.49
HECodemixedFemale460   9.44  19.89            0.83         0.91     0.87             0.65             0.55          0.52          0.22  0.40   0.53
HECodemixedFemale461  26.70  44.61            0.62         0.76     0.68             0.26             0.24          0.89          0.53  0.20   0.22
HECodemixedFemale462   9.93  10.33            0.85         0.98     0.91             0.95             0.73          0.40          0.09  0.91   0.80
HECodemixedFemale463  32.21  48.58            0.56         0.77     0.65             0.23             0.19          1.05          0.50  0.18   0.20
HECodemixedFemale464  20.31  32.31            0.70         0.75     0.72             0.45             0.41          0.75          0.55  0.38   0.37
HECodemixedFemale465  18.21  27.91            0.71         0.76     0.74             0.53             0.44          0.75          0.57  0.43   0.39
HECodemixedFemale466  32.68  45.24            0.58         0.68     0.63             0.33             0.22          0.95          0.68  0.28   0.26
HECodemixedFemale467  20.70  41.28            0.68         0.86     0.76             0.32             0.28          0.80          0.28  0.24   0.32
HECodemixedFemale468  40.94  53.37            0.52         0.65     0.58             0.25             0.12          1.06          0.75  0.21   0.19
HECodemixedFemale469  12.43  17.68            0.79         0.88     0.83             0.76             0.62          0.53          0.29  0.70   0.63
HECodemixedFemale470  41.39  56.26            0.54         0.77     0.64             0.21             0.17          1.06          0.48  0.20   0.21
HECodemixedFemale471  26.66  49.55            0.61         0.89     0.73             0.22             0.17          0.98          0.23  0.15   0.23
HECodemixedFemale472  15.53  23.22            0.76         0.82     0.79             0.62             0.55          0.64          0.40  0.56   0.52
HECodemixedFemale473   6.79  13.67            0.88         0.95     0.91             0.77             0.61          0.41          0.12  0.43   0.63
HECodemixedFemale474  12.29   9.46            0.82         0.99     0.90             0.98             0.69          0.43          0.03  0.95   0.82
HECodemixedFemale475   5.07   8.64            0.91         0.95     0.93             0.86             0.74          0.28          0.16  0.61   0.73
HECodemixedFemale476   6.14   9.54            0.89         0.92     0.90             0.83             0.78          0.37          0.22  0.74   0.72
HECodemixedFemale477  12.39  24.00            0.78         0.84     0.81             0.56             0.52          0.61          0.38  0.42   0.46
HECodemixedFemale478  14.20  22.90            0.78         0.81     0.80             0.62             0.56          0.57          0.46  0.54   0.51
HECodemixedFemale479  34.64  53.70            0.55         0.79     0.65             0.30             0.15          0.96          0.47  0.21   0.24
HECodemixedFemale480   6.55  10.38            0.88         0.93     0.90             0.83             0.73          0.39          0.21  0.64   0.68
HECodemixedFemale481  23.74  38.04            0.66         0.77     0.71             0.39             0.36          0.79          0.49  0.34   0.35
HECodemixedFemale482  22.47  46.37            0.65         0.85     0.73             0.20             0.18          0.86          0.37  0.13   0.18
HECodemixedFemale483  32.62  43.97            0.61         0.74     0.67             0.37             0.29          0.94          0.52  0.34   0.33
HECodemixedFemale484  41.53  60.14            0.53         0.82     0.64             0.14             0.12          1.07          0.40  0.13   0.16
HECodemixedFemale485  32.29  58.36            0.55         0.87     0.68             0.07             0.06          1.03          0.33  0.05   0.08
HECodemixedFemale486  22.63  38.31            0.66         0.79     0.72             0.43             0.33          0.78          0.44  0.36   0.37
HECodemixedFemale487  10.48  15.72            0.81         0.86     0.84             0.72             0.64          0.57          0.37  0.61   0.57
HECodemixedFemale488  37.41  54.93            0.56         0.74     0.63             0.17             0.15          1.00          0.58  0.14   0.15
HECodemixedFemale489  37.32  67.85            0.51         1.00     0.68             1.00             0.00          1.13          0.00  0.00   0.00
HECodemixedFemale490  15.79  31.80            0.74         0.85     0.79             0.45             0.40          0.69          0.34  0.31   0.39
HECodemixedFemale491  37.90  61.89            0.51         0.84     0.64             0.03             0.02          1.13          0.41  0.02   0.03
HECodemixedFemale492  10.94  19.92            0.81         0.87     0.84             0.69             0.59          0.52          0.36  0.54   0.55
HECodemixedFemale493  23.98  55.18            0.63         0.95     0.76             0.11             0.09          0.90          0.13  0.07   0.16
HECodemixedFemale494  25.22  35.75            0.64         0.82     0.72             0.47             0.35          0.90          0.36  0.39   0.39
HECodemixedFemale495  51.41  74.16            0.47         0.94     0.63             0.03             0.02          1.22          0.17  0.03   0.05
HECodemixedFemale496  58.61  76.29            0.42         1.00     0.59             1.00             0.00          1.37          0.00  0.00   0.00
HECodemixedFemale497  17.85  28.90            0.72         0.82     0.77             0.53             0.47          0.70          0.38  0.46   0.47
HECodemixedFemale498   6.82  16.61            0.90         0.97     0.94             0.91             0.70          0.24          0.11  0.62   0.78
HECodemixedFemale499   8.79   8.44            0.85         0.96     0.90             0.92             0.74          0.40          0.08  0.91   0.80
HECodemixedFemale500  24.11  45.89            0.64         0.85     0.73             0.26             0.24          0.83          0.32  0.21   0.28
HECodemixedFemale501  14.22  29.32            0.76         0.87     0.81             0.50             0.44          0.65          0.25  0.35   0.45
HECodemixedFemale502   6.90   9.31            0.89         0.98     0.93             0.94             0.76          0.30          0.05  0.83   0.83
HECodemixedFemale503  42.68  63.68            0.52         0.87     0.65             0.10             0.09          1.08          0.31  0.10   0.14
HECodemixedFemale504  27.74  42.56            0.63         0.71     0.67             0.32             0.29          0.84          0.60  0.28   0.28
HECodemixedFemale505   9.57  12.90            0.84         0.93     0.88             0.82             0.66          0.49          0.17  0.67   0.68
HECodemixedFemale506   9.93   9.36            0.84         0.97     0.90             0.93             0.70          0.45          0.10  0.82   0.76
HECodemixedFemale507  44.19  61.03            0.52         0.74     0.61             0.11             0.09          1.09          0.59  0.09   0.10
HECodemixedFemale508  35.19  55.87            0.56         0.82     0.66             0.16             0.15          1.00          0.40  0.14   0.17
HECodemixedFemale509  45.27  71.56            0.47         1.00     0.64             1.00             0.00          1.20          0.00  0.00   0.00
HECodemixedFemale510  21.54  43.27            0.67         0.86     0.76             0.38             0.25          0.80          0.28  0.27   0.35
HECodemixedFemale511   6.77  16.74            0.88         0.91     0.90             0.69             0.59          0.37          0.25  0.39   0.56
HECodemixedFemale512  30.55  63.74            0.57         0.99     0.72             0.02             0.02          1.01          0.05  0.01   0.05
HECodemixedFemale513  26.14  62.46            0.61         1.00     0.76             1.00             0.00          0.98          0.00  0.00   0.00
HECodemixedFemale514   7.53  20.11            0.87         0.92     0.89             0.62             0.47          0.39          0.25  0.29   0.48
HECodemixedFemale515  16.26  23.30            0.75         0.84     0.79             0.65             0.54          0.66          0.35  0.58   0.54
*** OVERALL ***       23.07  37.98            0.68         0.85     0.76             0.85             0.68          0.77          0.34  7.19   0.93
