File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
HECodemixedFemale304  16.52  29.94            0.73         0.82     0.77             0.51             0.43          0.70          0.42  0.39   0.42
HECodemixedFemale305  52.89  75.21            0.46         1.00     0.63             1.00             0.00          1.22          0.00  0.00   0.00
HECodemixedFemale306  19.50  37.39            0.70         0.84     0.76             0.38             0.35          0.75          0.32  0.30   0.37
HECodemixedFemale307   4.96   4.74            0.91         0.98     0.94             0.95             0.83          0.28          0.06  0.90   0.84
HECodemixedFemale308  32.31  56.11            0.57         0.88     0.69             0.15             0.13          1.00          0.27  0.12   0.19
HECodemixedFemale309  16.70  33.29            0.73         0.86     0.79             0.53             0.40          0.65          0.30  0.41   0.47
HECodemixedFemale310   7.96   9.62            0.88         0.98     0.93             0.96             0.76          0.32          0.04  0.90   0.84
HECodemixedFemale311  24.87  47.12            0.63         0.87     0.73             0.25             0.21          0.91          0.27  0.19   0.26
HECodemixedFemale312  40.79  61.06            0.50         0.90     0.64             0.12             0.09          1.19          0.24  0.10   0.15
HECodemixedFemale313  53.32  68.69            0.55         0.78     0.64             0.09             0.08          1.02          0.50  0.09   0.11
HECodemixedFemale314  33.98  47.12            0.60         0.65     0.62             0.26             0.22          0.96          0.74  0.22   0.21
HECodemixedFemale315  32.31  54.69            0.58         0.85     0.69             0.17             0.16          0.95          0.33  0.15   0.21
HECodemixedFemale316   5.99   8.72            0.89         0.93     0.91             0.85             0.78          0.38          0.22  0.76   0.72
HECodemixedFemale317  20.46  34.28            0.69         0.78     0.73             0.45             0.40          0.72          0.44  0.40   0.42
HECodemixedFemale318  17.65  35.28            0.72         0.84     0.78             0.41             0.38          0.70          0.31  0.31   0.39
HECodemixedFemale319  16.47  34.47            0.73         0.85     0.78             0.43             0.38          0.68          0.30  0.32   0.41
HECodemixedFemale320  10.58  19.63            0.81         0.88     0.84             0.69             0.61          0.51          0.27  0.57   0.60
HECodemixedFemale321   6.03   9.31            0.89         0.94     0.91             0.85             0.75          0.33          0.19  0.69   0.73
HECodemixedFemale322  38.89  62.19            0.54         0.71     0.61             0.02             0.01          1.05          0.67  0.01   0.01
HECodemixedFemale323  13.43  23.14            0.78         0.87     0.82             0.62             0.53          0.62          0.27  0.48   0.53
HECodemixedFemale324  38.59  67.94            0.50         1.00     0.67             1.00             0.00          1.19          0.00  0.00   0.00
HECodemixedFemale325  51.49  64.92            0.67         0.58     0.62             0.12             0.08          0.82          0.84  0.12   0.13
HECodemixedFemale326  16.28  27.79            0.74         0.87     0.80             0.55             0.44          0.71          0.27  0.41   0.47
HECodemixedFemale327  25.19  44.16            0.63         0.78     0.70             0.36             0.21          0.86          0.51  0.25   0.27
HECodemixedFemale328   9.20  17.30            0.84         0.93     0.88             0.72             0.55          0.50          0.14  0.43   0.59
HECodemixedFemale329  17.21  31.70            0.72         0.84     0.78             0.46             0.40          0.75          0.32  0.35   0.41
HECodemixedFemale330   6.27  13.62            0.88         0.93     0.91             0.78             0.69          0.37          0.16  0.54   0.68
HECodemixedFemale331  11.91  20.90            0.79         0.88     0.83             0.63             0.51          0.60          0.33  0.42   0.48
HECodemixedFemale332  23.94  43.22            0.64         0.83     0.72             0.28             0.24          0.91          0.39  0.20   0.25
HECodemixedFemale333  23.25  34.76            0.68         0.77     0.72             0.46             0.40          0.78          0.47  0.42   0.41
HECodemixedFemale334  11.10  18.04            0.81         0.88     0.84             0.70             0.63          0.52          0.28  0.60   0.60
HECodemixedFemale335  12.95  31.17            0.78         0.86     0.82             0.46             0.41          0.59          0.31  0.30   0.41
HECodemixedFemale336  23.27  42.13            0.65         0.87     0.74             0.33             0.25          0.90          0.26  0.23   0.31
HECodemixedFemale337   9.41  11.58            0.84         0.93     0.88             0.86             0.71          0.46          0.20  0.78   0.71
HECodemixedFemale338  37.11  61.04            0.54         0.89     0.67             0.11             0.10          1.04          0.26  0.09   0.15
HECodemixedFemale339  30.83  65.04            0.57         1.00     0.72             1.00             0.00          1.00          0.00  0.00   0.00
HECodemixedFemale340   8.76   6.46            0.85         0.99     0.92             0.97             0.72          0.39          0.04  0.85   0.81
HECodemixedFemale341  35.01  53.27            0.55         0.71     0.62             0.14             0.13          1.01          0.64  0.11   0.12
HECodemixedFemale342   7.56  14.04            0.87         0.93     0.90             0.79             0.67          0.42          0.17  0.59   0.68
HECodemixedFemale343   5.52   6.66            0.91         0.99     0.94             0.97             0.82          0.26          0.04  0.92   0.87
HECodemixedFemale344  30.43  54.58            0.57         0.90     0.70             0.16             0.13          1.03          0.23  0.12   0.19
HECodemixedFemale345  50.35  72.82            0.49         0.96     0.65             0.02             0.02          1.11          0.14  0.02   0.06
HECodemixedFemale346  33.54  66.22            0.54         1.00     0.70             1.00             0.00          1.06          0.00  0.00   0.00
HECodemixedFemale347  24.58  61.45            0.63         1.00     0.77             1.00             0.00          0.98          0.00  0.00   0.00
HECodemixedFemale348  10.12  18.19            0.82         0.87     0.85             0.70             0.65          0.46          0.30  0.62   0.62
HECodemixedFemale349  21.48  36.47            0.67         0.78     0.72             0.39             0.36          0.80          0.46  0.33   0.35
HECodemixedFemale350  27.45  52.58            0.61         0.89     0.72             0.18             0.15          0.94          0.24  0.13   0.21
HECodemixedFemale351  23.32  48.56            0.65         0.88     0.75             0.21             0.20          0.83          0.25  0.16   0.25
HECodemixedFemale352  16.87  32.76            0.73         0.84     0.78             0.45             0.41          0.68          0.32  0.35   0.42
HECodemixedFemale353  14.92  23.60            0.76         0.81     0.78             0.60             0.55          0.61          0.42  0.55   0.52
HECodemixedFemale354  40.02  52.36            0.52         0.75     0.61             0.27             0.17          1.11          0.51  0.25   0.25
HECodemixedFemale355   7.46  15.91            0.87         0.93     0.90             0.77             0.63          0.40          0.15  0.51   0.66
HECodemixedFemale356  40.07  68.90            0.49         1.00     0.66             1.00             0.00          1.19          0.00  0.00   0.00
HECodemixedFemale357  17.75  31.30            0.71         0.79     0.75             0.47             0.40          0.72          0.49  0.36   0.38
HECodemixedFemale358   5.86  13.08            0.89         0.93     0.91             0.77             0.71          0.36          0.17  0.54   0.68
HECodemixedFemale359  23.57  36.89            0.65         0.78     0.71             0.40             0.35          0.85          0.45  0.36   0.37
HECodemixedFemale360  16.14  17.78            0.75         0.93     0.83             0.78             0.52          0.67          0.17  0.58   0.60
HECodemixedFemale361  31.42  51.04            0.59         0.80     0.68             0.21             0.20          0.95          0.42  0.18   0.22
HECodemixedFemale362  17.09  30.06            0.72         0.81     0.76             0.48             0.42          0.73          0.42  0.36   0.39
HECodemixedFemale363  23.79  35.23            0.65         0.72     0.68             0.40             0.34          0.88          0.64  0.32   0.30
HECodemixedFemale364  42.14  57.51            0.55         0.77     0.64             0.19             0.16          1.04          0.48  0.19   0.21
HECodemixedFemale365  18.54  37.25            0.70         0.83     0.76             0.41             0.33          0.72          0.39  0.29   0.35
HECodemixedFemale366   8.78  14.75            0.84         0.94     0.89             0.77             0.60          0.48          0.14  0.49   0.63
HECodemixedFemale367  26.27  40.63            0.63         0.73     0.68             0.33             0.30          0.88          0.58  0.27   0.28
HECodemixedFemale368  43.78  70.08            0.47         1.00     0.64             1.00             0.00          1.27          0.00  0.00   0.00
HECodemixedFemale369  15.16  26.94            0.75         0.85     0.80             0.55             0.48          0.66          0.30  0.44   0.49
HECodemixedFemale370  57.27  72.11            0.48         0.85     0.61             0.41             0.07          1.08          0.41  0.21   0.23
HECodemixedFemale371  34.54  66.90            0.54         1.00     0.70             1.00             0.00          1.04          0.00  0.00   0.00
HECodemixedFemale372   9.54  12.76            0.84         0.90     0.87             0.80             0.69          0.48          0.25  0.73   0.67
HECodemixedFemale373  19.62  40.69            0.69         0.87     0.77             0.33             0.29          0.78          0.26  0.23   0.33
HECodemixedFemale374   6.18  12.79            0.89         0.93     0.91             0.81             0.73          0.35          0.20  0.64   0.70
HECodemixedFemale375  27.50  63.42            0.60         1.00     0.75             1.00             0.00          0.96          0.00  0.00   0.00
HECodemixedFemale376  57.24  76.37            0.43         1.00     0.60             1.00             0.00          1.32          0.00  0.00   0.00
HECodemixedFemale377  30.91  44.30            0.59         0.72     0.65             0.30             0.25          0.98          0.60  0.25   0.24
HECodemixedFemale378  27.24  49.55            0.61         0.86     0.71             0.36             0.19          0.89          0.30  0.25   0.32
HECodemixedFemale379  33.51  51.39            0.56         0.83     0.67             0.24             0.19          1.04          0.36  0.20   0.24
HECodemixedFemale380   8.35  18.63            0.85         0.93     0.89             0.67             0.54          0.48          0.15  0.37   0.56
HECodemixedFemale381  34.29  56.02            0.56         0.84     0.67             0.16             0.14          1.02          0.36  0.13   0.17
HECodemixedFemale382   7.88   5.39            0.87         0.99     0.92             0.97             0.67          0.37          0.02  0.67   0.79
HECodemixedFemale383   8.47   8.52            0.86         0.96     0.91             0.91             0.73          0.39          0.08  0.85   0.79
HECodemixedFemale384   7.25  12.18            0.87         0.91     0.89             0.79             0.72          0.41          0.21  0.66   0.68
HECodemixedFemale385  21.03  50.54            0.67         0.92     0.77             0.16             0.14          0.83          0.18  0.11   0.20
HECodemixedFemale386  18.82  32.38            0.70         0.83     0.76             0.46             0.39          0.78          0.38  0.35   0.38
*** OVERALL ***       22.03  38.26            0.69         0.87     0.77             0.86             0.69          0.75          0.30  7.20   0.93
