File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
HECodemixedFemale459  29.91  56.99            0.58         0.90     0.71             0.12             0.11          0.95          0.23  0.10   0.17
HECodemixedFemale460  24.27  61.76            0.63         1.00     0.77             1.00             0.00          0.92          0.00  0.00   0.00
HECodemixedFemale461  40.00  66.24            0.52         0.94     0.67             0.05             0.05          1.05          0.16  0.04   0.09
HECodemixedFemale462  11.45  11.84            0.82         0.95     0.88             0.89             0.68          0.49          0.14  0.82   0.73
HECodemixedFemale463  31.12  48.01            0.58         0.81     0.68             0.28             0.23          0.99          0.38  0.24   0.27
HECodemixedFemale464  32.91  50.50            0.60         0.77     0.67             0.24             0.22          0.90          0.47  0.23   0.26
HECodemixedFemale465  22.26  36.14            0.67         0.80     0.73             0.48             0.37          0.75          0.41  0.43   0.43
HECodemixedFemale466  47.00  62.20            0.52         0.77     0.62             0.25             0.11          1.02          0.49  0.21   0.22
HECodemixedFemale467  24.71  49.14            0.63         0.87     0.73             0.20             0.17          0.91          0.29  0.13   0.20
HECodemixedFemale468  52.92  67.75            0.49         0.82     0.62             0.28             0.08          1.08          0.41  0.19   0.22
HECodemixedFemale469  26.71  39.31            0.63         0.74     0.68             0.38             0.32          0.88          0.52  0.35   0.34
HECodemixedFemale470  52.03  68.07            0.48         0.82     0.60             0.06             0.05          1.21          0.45  0.05   0.06
HECodemixedFemale471  28.52  53.59            0.59         0.91     0.71             0.15             0.12          1.02          0.21  0.11   0.18
HECodemixedFemale472  31.76  46.50            0.60         0.75     0.67             0.31             0.26          0.92          0.49  0.29   0.30
HECodemixedFemale473   6.79  13.67            0.88         0.95     0.91             0.77             0.61          0.41          0.12  0.43   0.63
HECodemixedFemale474  47.63  58.03            0.49         0.74     0.59             0.29             0.14          1.13          0.55  0.26   0.25
HECodemixedFemale475  13.82  34.95            0.76         0.89     0.82             0.39             0.35          0.64          0.22  0.25   0.39
HECodemixedFemale476  18.30  31.38            0.71         0.80     0.75             0.50             0.44          0.68          0.41  0.44   0.45
HECodemixedFemale477  28.47  56.82            0.59         0.92     0.72             0.11             0.10          0.94          0.19  0.09   0.16
HECodemixedFemale478  25.36  42.08            0.62         0.74     0.67             0.32             0.24          0.87          0.59  0.24   0.25
HECodemixedFemale479  45.47  69.14            0.51         0.95     0.66             0.56             0.06          1.00          0.16  0.17   0.27
HECodemixedFemale480  13.95  26.99            0.76         0.86     0.81             0.53             0.47          0.65          0.31  0.38   0.45
HECodemixedFemale481  34.14  52.87            0.57         0.77     0.66             0.19             0.18          0.97          0.49  0.16   0.19
HECodemixedFemale482  25.91  55.19            0.61         0.92     0.74             0.11             0.10          0.92          0.21  0.07   0.13
HECodemixedFemale483  54.17  69.49            0.48         0.86     0.62             0.08             0.07          1.19          0.33  0.08   0.12
HECodemixedFemale484  45.71  64.94            0.50         0.83     0.62             0.08             0.06          1.14          0.41  0.06   0.08
HECodemixedFemale485  38.75  68.85            0.53         0.95     0.68             0.01             0.01          1.06          0.15  0.02   0.04
HECodemixedFemale486  23.52  39.36            0.65         0.77     0.70             0.39             0.30          0.82          0.50  0.31   0.32
HECodemixedFemale487  31.47  45.08            0.61         0.69     0.65             0.30             0.26          0.89          0.63  0.28   0.27
HECodemixedFemale488  40.53  59.07            0.54         0.77     0.64             0.16             0.12          1.01          0.51  0.14   0.16
HECodemixedFemale489  33.03  60.01            0.55         0.93     0.69             0.09             0.08          1.06          0.17  0.07   0.13
HECodemixedFemale490  19.93  40.78            0.68         0.84     0.75             0.30             0.27          0.80          0.35  0.21   0.28
HECodemixedFemale491  36.73  60.00            0.52         0.83     0.64             0.05             0.04          1.12          0.44  0.04   0.05
HECodemixedFemale492  25.46  47.47            0.62         0.82     0.71             0.32             0.18          0.86          0.43  0.21   0.25
HECodemixedFemale493  23.17  53.17            0.64         0.93     0.76             0.14             0.12          0.88          0.15  0.09   0.18
HECodemixedFemale494  37.78  55.88            0.53         0.85     0.65             0.19             0.14          1.13          0.31  0.16   0.20
HECodemixedFemale495  48.15  72.63            0.46         1.00     0.63             1.00             0.00          1.25          0.00  0.00   0.00
HECodemixedFemale496  47.78  62.24            0.47         0.84     0.61             0.13             0.10          1.25          0.35  0.12   0.15
HECodemixedFemale497  32.05  51.66            0.58         0.82     0.68             0.22             0.19          0.96          0.37  0.19   0.24
HECodemixedFemale498  10.33  27.81            0.83         0.92     0.88             0.66             0.49          0.46          0.17  0.40   0.57
HECodemixedFemale499  43.09  62.12            0.49         0.88     0.63             0.12             0.09          1.20          0.27  0.10   0.15
HECodemixedFemale500  32.73  61.66            0.56         0.94     0.70             0.07             0.06          0.99          0.16  0.05   0.12
HECodemixedFemale501  19.43  41.49            0.69         0.88     0.77             0.31             0.27          0.78          0.25  0.22   0.32
HECodemixedFemale502  10.43  17.76            0.84         0.94     0.89             0.86             0.65          0.42          0.15  0.71   0.72
HECodemixedFemale503  40.09  59.99            0.53         0.82     0.64             0.19             0.11          1.02          0.39  0.16   0.19
HECodemixedFemale504  45.19  64.95            0.53         0.84     0.65             0.10             0.09          1.02          0.37  0.10   0.14
HECodemixedFemale505   7.75   7.29            0.87         0.97     0.91             0.92             0.72          0.39          0.08  0.76   0.77
HECodemixedFemale506  24.12  34.95            0.65         0.83     0.73             0.47             0.36          0.89          0.35  0.39   0.40
HECodemixedFemale507  44.44  62.18            0.53         0.80     0.64             0.14             0.12          1.04          0.43  0.14   0.17
HECodemixedFemale508  35.91  57.17            0.56         0.84     0.67             0.16             0.14          0.99          0.35  0.14   0.19
HECodemixedFemale509  40.84  64.76            0.50         0.92     0.65             0.07             0.06          1.14          0.19  0.06   0.11
HECodemixedFemale510  14.95  26.01            0.75         0.86     0.80             0.55             0.43          0.71          0.33  0.36   0.42
HECodemixedFemale511  11.34  35.25            0.80         0.93     0.86             0.36             0.31          0.58          0.15  0.18   0.36
HECodemixedFemale512  31.25  65.20            0.56         1.00     0.72             1.00             0.00          1.02          0.00  0.00   0.00
HECodemixedFemale513  26.14  62.46            0.61         1.00     0.76             1.00             0.00          0.98          0.00  0.00   0.00
HECodemixedFemale514   7.53  23.04            0.86         0.94     0.90             0.56             0.43          0.44          0.17  0.24   0.45
HECodemixedFemale515  20.33  29.73            0.70         0.81     0.75             0.54             0.45          0.76          0.40  0.49   0.46
*** OVERALL ***       30.73  51.65            0.60         0.88     0.72             0.88             0.60          0.93          0.27  7.04   0.92
