File                    DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
HECodemixedFemale211  31.02  58.03            0.58         0.91     0.70             0.27             0.10          0.91          0.22  0.14   0.23
HECodemixedFemale212  52.66  71.48            0.56         0.64     0.60             0.05             0.03          1.06          0.78  0.05   0.05
HECodemixedFemale213  29.22  57.61            0.58         0.90     0.71             0.08             0.07          0.97          0.25  0.05   0.09
HECodemixedFemale214  38.29  64.50            0.53         0.93     0.67             0.06             0.06          1.03          0.19  0.06   0.11
HECodemixedFemale215  23.53  42.06            0.65         0.87     0.74             0.33             0.25          0.91          0.26  0.23   0.31
HECodemixedFemale216  49.63  59.75            0.54         0.66     0.60             0.17             0.13          1.09          0.68  0.18   0.17
HECodemixedFemale217  37.88  59.84            0.53         0.86     0.65             0.12             0.10          1.09          0.31  0.11   0.15
HECodemixedFemale218  20.88  32.05            0.69         0.82     0.75             0.50             0.41          0.80          0.36  0.42   0.43
HECodemixedFemale219  21.38  40.99            0.67         0.85     0.75             0.42             0.29          0.78          0.31  0.31   0.38
HECodemixedFemale220  21.87  42.10            0.66         0.83     0.73             0.28             0.24          0.88          0.38  0.19   0.24
HECodemixedFemale221  33.64  51.23            0.55         0.79     0.65             0.20             0.17          1.06          0.48  0.16   0.18
HECodemixedFemale222  25.82  54.21            0.62         0.92     0.74             0.14             0.12          0.93          0.18  0.10   0.18
HECodemixedFemale223  25.87  47.70            0.62         0.81     0.70             0.28             0.17          0.88          0.45  0.18   0.22
HECodemixedFemale224  39.60  65.94            0.51         0.88     0.65             0.01             0.00          1.10          0.34  0.00   0.01
HECodemixedFemale225  24.39  38.02            0.65         0.78     0.71             0.39             0.34          0.85          0.45  0.34   0.35
HECodemixedFemale226   4.79   6.86            0.91         0.98     0.94             0.93             0.77          0.26          0.05  0.68   0.82
HECodemixedFemale227  25.95  40.21            0.63         0.75     0.69             0.35             0.30          0.90          0.53  0.28   0.29
HECodemixedFemale228  34.44  57.83            0.55         0.87     0.67             0.27             0.12          0.99          0.29  0.17   0.23
HECodemixedFemale229  28.23  63.29            0.59         1.00     0.74             1.00             0.00          1.04          0.00  0.00   0.00
HECodemixedFemale230  55.19  74.27            0.48         0.90     0.62             0.32             0.06          1.16          0.25  0.14   0.20
HECodemixedFemale231   5.72   4.81            0.90         0.99     0.94             0.96             0.76          0.30          0.03  0.75   0.83
HECodemixedFemale232  58.40  76.43            0.42         1.00     0.59             1.00             0.00          1.35          0.00  0.00   0.00
HECodemixedFemale233  40.20  62.14            0.53         0.87     0.66             0.11             0.10          1.06          0.30  0.10   0.15
HECodemixedFemale234  28.12  51.50            0.61         0.86     0.71             0.20             0.18          0.91          0.30  0.16   0.23
HECodemixedFemale235  36.20  67.68            0.53         1.00     0.69             1.00             0.00          1.06          0.00  0.00   0.00
HECodemixedFemale236  36.49  59.42            0.54         0.88     0.67             0.13             0.11          1.05          0.28  0.11   0.16
HECodemixedFemale237  34.42  59.67            0.55         0.89     0.68             0.20             0.10          0.96          0.26  0.12   0.19
HECodemixedFemale238  46.13  70.66            0.50         0.97     0.66             0.49             0.05          1.03          0.10  0.11   0.23
HECodemixedFemale239  38.58  68.16            0.50         1.00     0.67             1.00             0.00          1.18          0.00  0.00   0.00
HECodemixedFemale240  14.83  26.12            0.75         0.83     0.79             0.56             0.50          0.65          0.39  0.46   0.47
HECodemixedFemale241  18.73  41.38            0.69         0.85     0.77             0.26             0.23          0.78          0.35  0.16   0.23
HECodemixedFemale242  34.21  59.24            0.55         0.89     0.68             0.21             0.10          0.95          0.27  0.13   0.20
HECodemixedFemale243  13.04  20.77            0.78         0.81     0.80             0.62             0.58          0.61          0.47  0.53   0.50
HECodemixedFemale244  38.55  68.74            0.51         1.00     0.68             1.00             0.00          1.10          0.00  0.00   0.00
HECodemixedFemale245  35.06  59.72            0.54         0.91     0.68             0.11             0.09          1.08          0.22  0.09   0.15
HECodemixedFemale246  37.50  56.75            0.54         0.81     0.65             0.23             0.14          1.02          0.40  0.19   0.22
HECodemixedFemale247  31.07  48.05            0.60         0.77     0.68             0.27             0.24          0.91          0.47  0.24   0.26
HECodemixedFemale248  43.34  68.54            0.51         0.84     0.63             0.00             0.00          1.09          0.43  0.01   0.01
HECodemixedFemale249  13.50  35.90            0.77         0.91     0.83             0.37             0.33          0.63          0.19  0.22   0.37
HECodemixedFemale250  20.75  33.16            0.68         0.87     0.76             0.49             0.35          0.84          0.27  0.35   0.41
HECodemixedFemale251  34.51  55.70            0.57         0.83     0.67             0.17             0.16          0.97          0.36  0.15   0.20
HECodemixedFemale252  24.58  61.82            0.62         1.00     0.77             1.00             0.00          0.94          0.00  0.00   0.00
HECodemixedFemale253  40.99  69.73            0.50         1.00     0.66             1.00             0.00          1.15          0.00  0.00   0.00
HECodemixedFemale254  52.40  74.77            0.48         0.91     0.63             0.04             0.03          1.19          0.24  0.04   0.07
HECodemixedFemale255  28.55  46.21            0.60         0.75     0.67             0.25             0.22          0.93          0.53  0.20   0.22
HECodemixedFemale256  37.95  59.23            0.54         0.85     0.66             0.14             0.12          1.04          0.33  0.13   0.17
HECodemixedFemale257  10.45  17.91            0.82         0.89     0.85             0.70             0.62          0.52          0.26  0.57   0.60
*** OVERALL ***       29.71  50.55            0.61         0.87     0.72             0.87             0.61          0.92          0.28  7.05   0.92
